job_title,company_name,location,time_posted,num_applicants,Seniority Level,Employment Type,Job Function,Industries,job_description
Surrogates Needed! Start at $55-$75K+ | No Exp Req  Apply Today!,Physician's Surrogacy,"Boonville, IN",1 hour ago,,Not Applicable,Full-time,Other,Medical Practices,"Earn up to $75,000 as a stay-at-home mom or as a second job. Sign up today and earn $1,200 bonusWhat qualities make you a great Surrogate?Aged 20.5-39.5 Have given birth before Experienced no complications during your own pregnancy Healthy lifestyle - No drugs or smoking US citizen or a US permanent residentAdvantages Of Our Surrogacy ProgramReceive up to $11,000 before pregnancy begins. Enjoy a $1200 bonus for screenings! Match quickly with intended parents. Ensure complete medical safety. All expenses are covered No experience neededJoin Our Surrogate Referral ProgramTake part in our referral program by referring a friend to become a Surrogate. You'll receive $1000 for every successful referral who passes screening. There's no cap on how many referrals you can make, and everyone is welcome to participate in this program.Support the dreams of hopeful parents and receive up to $75,000+ in bonuses as a SurrogateYou will know immediately if you meet the prequalification requirements. The application takes 5 minutes and a coordinator will contact you as soon as we receive it!RequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Not Applicable
          



            Employment type
          

            Full-time
          



              Job function
            

              Other
            



              Industries
            

            Medical Practices
            
















Referrals increase your chances of interviewing at Physician's Surrogacy by 2x

                See who you know"
Frito-Lay - Warehouser/Material Handler $16-$35/hr,Frito-Lay,"Lubbock, TX",1 hour ago,,Entry level,Full-time,Management and Manufacturing,Food and Beverage Services,"No experience requited, hiring immediately, appy now.Work Schedule: 4-5 days per week25 hours per week average Frito-Lay Warehouse/Material Handlers are responsible for a variety of warehouse duties. A key component of PepsiCo's success, Frito-Lay has been making the very best snacks for over 80 years. Classic Lay'sRequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Management and Manufacturing
            



              Industries
            

            Food and Beverage Services
            
















Referrals increase your chances of interviewing at Frito-Lay by 2x

                See who you know"
RUNNER (PART TIME),Mazzone Hospitality,"Saratoga Springs, NY",1 hour ago,,Entry level,Part-time,Management and Manufacturing,Hospitality,"We are hiring immediately for part timeRUNNER positions.Location: Saratoga Prime - 458 Union Avenue, Saratoga Spring, NY 12866Note: online applications accepted only.Schedule:Part time schedule. Monday - Sunday, hours may vary. Must be able to work weekends and holidays. More details upon interview.Requirement: Experience preferred.Pay Rate: $13.50per hour.Internal Employee Referral Bonus AvailableWe Make Applying Easy!Want to apply to this job via text messaging? Text JOBto 75000and search requisition ID number1413469.The advertised program is a conversational recruiting assistant that helps you apply to jobs with Compass Group. Message frequency varies. Message and data rates may apply. Text STOP to opt out or HELP for help. Terms and conditions:http://olivia.paradox.ai/moSkgDiversityof thought and inclusion for all is what drives our success - we invite you to start your journey with us today!Hospitality is not only in our name; it is the foundation upon which our company was built. Mazzone Hospitality originated over 30 years ago with a small restaurant in downtown Schenectady. Our commitment to customer service over the years has brought us to where we are today as the most prestigious hospitality company in upstate New York. We have two distinct divisions, On/Off premise catering and business dining. Although we are still family rooted, most recently in 2017 we took our company to the next level by partnering with Restaurant Associates, a division of Compass Group North America. Currently we operate within 18 different locations throughout the capital district, and have over 1,000 employees on our team. Nothing is too small when it comes to attention to details. The desire to provide exceptional service is the foundation upon which we will build your experience with us.Job SummarySummary: Delivers food to restaurant/dining room patrons in a timely, professional, and efficient manner.Essential Duties And ResponsibilitiesDelivers food to restaurant/dining room patrons/customers. Follows principles of sanitation and safety in handling food and equipment. Interacts with customers in order to assure customer satisfaction. Interacts with co-workers in order to assure compliance with company service standards. Completes side work as assigned. Performs other duties as assigned. Associates At Mazzone Are Offered Many Fantastic Benefits.Both full-time and part-time positions offer the followingbenefits to associates:Retirement PlanAssociate Shopping ProgramHealth and Wellness ProgramsDiscount MarketplaceIdentity Theft ProtectionPet InsuranceVoluntary Benefits, including Critical Illness Insurance, Accident Insurance, Hospital Indemnity Insurance, Legal Services, and Choice Auto and Home ProgramIn addition, full-time positions also offer the following benefits to associates:MedicalDentalVisionLife Insurance/ADDisability InsuranceCommuter BenefitsEmployee Assistance ProgramFlexible Spending Accounts (FSAs)Associates may also be eligible for paid and/or unpaid time off benefits in accordance with applicable federal, state, and local laws. For positions in Washington State, Maryland, or to be performed Remotely, click here for paid time off benefits information.Mazzonemaintains a drug-free workplaceAbout Compass Group: Achieving leadership in the foodservice industryCompass Group is an equal opportunity employer. At Compass, we are committed to treating all Applicants and Associates fairly based on their abilities, achievements, and experience without regard to race, national origin, sex, age, disability, veteran status, sexual orientation, gender identity, or any other classification protected by law.Qualified candidates must be able to perform the essential functions of this position satisfactorily with or without a reasonable accommodation.Disclaimer: this job post is not necessarily an exhaustive list of all essential responsibilities, skills, tasks, or requirements associated with this position. While this is intended to be an accurate reflection of the position posted, the Company reserves the right to modify or change the essential functions of the job based on business necessity.Associates may also be eligible for paid and/or unpaid time off benefits in accordance with applicable federal, state, and local laws.For positions in Washington State, Maryland, or to be performed Remotely, click here for paid time off benefits information.""We will consider for employment all qualified applicants, including those with a criminal history (including relevant driving history), in a manner consistent with all applicable federal, state, and local laws, including the City of Los Angeles Fair Chance Initiative for Hiring Ordinance, the San Francisco Fair Chance Ordinance, and the New York Fair Chance Act.""RequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Part-time
          



              Job function
            

              Management and Manufacturing
            



              Industries
            

            Hospitality
            
















Referrals increase your chances of interviewing at Mazzone Hospitality by 2x

                See who you know"
Frito-Lay - Warehouser/Material Handler $16-$35/hr,Frito-Lay,"Winchester, VA",1 hour ago,,Entry level,Full-time,Management and Manufacturing,Food and Beverage Services,"No experience requited, hiring immediately, appy now.Work Schedule: 4-5 days per week25 hours per week average Frito-Lay Warehouse/Material Handlers are responsible for a variety of warehouse duties. A key component of PepsiCo's success, Frito-Lay has been making the very best snacks for over 80 years. Classic Lay'sRequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Management and Manufacturing
            



              Industries
            

            Food and Beverage Services
            
















Referrals increase your chances of interviewing at Frito-Lay by 2x

                See who you know"
Frito-Lay - Warehouser/Material Handler $16-$35/hr,Frito-Lay,"Auburn, NY",1 hour ago,,Entry level,Full-time,Management and Manufacturing,Food and Beverage Services,"No experience requited, hiring immediately, appy now.Work Schedule: 4-5 days per week25 hours per week average Frito-Lay Warehouse/Material Handlers are responsible for a variety of warehouse duties. A key component of PepsiCo's success, Frito-Lay has been making the very best snacks for over 80 years. Classic Lay'sRequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Management and Manufacturing
            



              Industries
            

            Food and Beverage Services
            
















Referrals increase your chances of interviewing at Frito-Lay by 2x

                See who you know"
Sales Support Analyst/Admin,Aquent,"Colorado, United States",3 minutes ago,,Entry level,Temporary,Other,Staffing and Recruiting,"Direct message the job poster from Aquent



              
          
        Michele Giella






 
            
        Michele Giella




              
        Senior Recruiter at Aquent | Connecting Top Marketing Talent with Fortune 500 Companies in the Consumer, Professional Services, Media, and Technology…
      
            

 










OverviewOur client, a marketing leader preparing for major campaign efforts, is urgently seeking two professionals to support a high-priority data gathering project. This is a critical, short-term assignment with potential for extension into broader sales administrative support.Project ScopeThis role is primarily focused on manual and tool-assisted research to compile personal contact information (emails and phone numbers) for approximately 2,700 financial advisors from a financial fetwork, which is being acquired.The gathered data will feed into targeted marketing efforts aimed at advisors who may not want to transition and speed are key — Client is aiming to complete the top 300 contacts within the first week, and the remainder within 4–6 weeks.Key ResponsibilitiesResearch and collect accurate personal contact info (email + phone) for a list of financial advisors Validate data using Google, LinkedIn, company websites, and/or sales intelligence tools like LinkedIn Sales Navigator and Seamless.AI Accurately input and maintain data in Excel or Google Sheets Work collaboratively with Sheri and the team to meet weekly progress goals Adapt to potential shifts in priorities as the project evolves into other administrative sales support tasks Ideal CandidateStrong research and internet-sleuthing skills Detail-oriented with a high standard for data accuracy Experience with administrative or sales support roles Comfortable using LinkedIn, Google, and data validation tools Self-motivated, responsive, and able to hit the ground running in a remote setup The target hiring compensation range for this role is $50.00 to $55.00 an hour. Compensation is based on several factors including, but not limited to education, relevant work experience, relevant certifications, and location.Client DescriptionAbout Aquent Talent:Aquent Talent connects the best talent in marketing, creative, and design with the world’s biggest brands.Our eligible talent get access to amazing benefits like subsidized health, vision, and dental plans, paid sick leave, and retirement plans with a match. We also offer free online training through Aquent Gymnasium. More information on our awesome benefits!Aquent is an equal-opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics. We’re about creating an inclusive environment—one where different backgrounds, experiences, and perspectives are valued, and everyone can contribute, grow their careers, and thrive.



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Temporary
          



              Job function
            

              Other
            



              Industries
            

            Staffing and Recruiting
            
















Referrals increase your chances of interviewing at Aquent by 2x

                See who you know"
RN - Post Partum,Mount Nittany Health,"State College, PA",1 hour ago,,Mid-Senior level,Full-time,Health Care Provider,Hospitals and Health Care,"DetailsClient NameMount Nittany HealthJob TypeTravelOfferingNursingProfessionRNSpecialtyPost PartumJob ID31556641Job TitleRN - Post PartumWeekly Pay$1966.0Shift DetailsShiftDay Shift - 12 hoursScheduled Hours36Job Order DetailsStart Date04/08/2025End Date07/08/2025Duration13 Week(s)Job DescriptionCoast Medical Service is a nationwide travel nursing & allied healthcare staffing agency dedicated to providing an elite traveler experience for the experienced or first-time traveler. Coast is featured on Blue Pipes' 2023 Best Travel Agencies and named a 2022 Top Rated Healthcare Staffing Firm & 2023 First Half Top Rated Healthcare Staffing Firm by Great Recruiters. Please note that pay rate may differ for locally based candidates. Please apply here or contact a recruiter directly to learn more about this position & the facility, and/or explore others that may be of interest to you. We look forward to speaking with you!Client DetailsAddress1800 East Park AvenueCityState CollegeStatePAZip Code16801RequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Mid-Senior level
          



            Employment type
          

            Full-time
          



              Job function
            

              Health Care Provider
            



              Industries
            

            Hospitals and Health Care
            
















Referrals increase your chances of interviewing at Mount Nittany Health by 2x

                See who you know"
Wellness Navigator (Medical Assistant),Garden of the Gods Resort and Club,"Colorado Springs, CO",1 hour ago,,Entry level,Full-time,"Other, Information Technology, and Management","Leisure, Travel & Tourism","Summary Of DutiesStrata Med is dedicated to providing holistic and comprehensive healthcare that integrates conventional medical practices with evidence-based alternative therapies. We are seeking a dedicated and compassionate Wellness Navigator to join our dynamic team. The ideal candidate will support our healthcare providers in delivering exceptional patient care while promoting a culture of wellness and prevention.Essential FunctionsGreet and assist patients in a professional and friendly manner.Prepare patients for examination by taking vital signs, medical histories, and documenting information in the EMR.Recognize and address any discrepancies in vital signs promptly to clinician prior to appointment.Assist healthcare providers during examinations and treatments.Schedule patient appointments.Maintain patient records and ensure all documentation is accurate and up-to-date.Organize medical records in a systematic and easily accessible manner.Adhere to privacy regulations and maintain the confidentiality of patient records.Handle patient inquiries via phone, email, or in-person, providing relevant information or directing to the appropriate personnel.Follow up with new patients after their appointments. Answering any questions about their treatment plan if necessary.Optimize reminder systems to send timely appointment reminders to patients.Confirm instructions for tests and labs to optimize compliance and results.Prepare and maintain examination rooms, including cleaning and sterilizing instruments and equipment.Call in or fax in prescriptions to pharmacies promptly and accurately.Provide patient education on health maintenance and disease prevention.Assist with the coordination of integrative therapies, such as acupuncture, chiropractic care, and nutritional counseling.Work closely with all members of the healthcare team to ensure cohesive and comprehensive patient care.Communicate effectively with patients, families, and other healthcare professionals.Participate in team meetings, trainings, and continuing education opportunities to stay current with best practices.MINIMUM KNOWLEDGEExcellent written and oral communication skills with a high degree of diplomacy and team involvement.Must be a confident communicator and presenter. Tact, empathy, and self-discipline are traits required.Must possess excellent organizational and planning skills. Needs to excel in problem solving and be analytical and detail orientated.Ability to work independently and exercise judgement to resolve personnel and production issues that arise during daily operations.Ability to effectively present information and respond to questions from managers, team members, members, and the public.Must be able to understand medical, and wellness related terminology including the various treatment modalities, equipment, and products.Must effectively manage HIPAA and related compliance regulations.Must be able to think critically and creatively, have knowledge of proper body mechanics to prevent injury.Adhering to dress code, appearance is neat and clean.Complete annual education requirements.Always maintain patient confidentiality.Report to work on time and as scheduled.Wear identification while on duty.Maintain regulatory requirements, including all state, federal and local regulations.Always represent the organization in a positive and professional manner.Comply with all organizational policies and standards regarding ethical business practices.Communicate the mission, ethics, and goals of the organization.Participate in performance improvement and continuous quality improvement activities.Professional RequirementsHigh School Diploma or equivalent required.Completion of an accredited Medical Assistant Program required.Certified Medical Assistant (CMA) or Registered Medical Assistant (RMA) Certification required.Experience in medical office or healthcare setting: 1-2 years of hands-on experience in a medical office, clinic, or healthcare facility is preferred but not always required.Experience with Electronic Health Records (EHR): Familiarity with using EHR systems for documenting patient information and managing medical records.Knowledge of Medical Terminology and Procedures. Including taking vital signs, preparing patients for exams.Schedule & CompensationFull-Time Non-Exempt (Hourly)Clinic hours are Monday through Saturday (assigned work schedule would not exceed 40 hours a week)Benefits-eligible first of the month 60 days after date of hire.Commensurate with experience, professional demeanor, contribution impact abilities, and commitment to wellness.Physical Requirements, Working Conditions & Environmental FactorsMost portions (50% - 100%) of daily assignments involve prolonged sitting or standing, in an indoor office area with carpet or tile floors. Well-lit with good ventilation. Significant portions (75% - 95%) of daily assignments involve potential ergonomic risk, such as regular repetitive tasks, forceful or prolonged exertions of the hands, with occasional lifting, pulling, pushing, or carrying of heavy objects.Physical RequirementsN/A (Not Applicable)OCCASIONALFREQUENTLYSittingXStandingXWalkingXBending OverXCrawlingXReachingXCrouchingXKneelingXBalancingXPushing / PullingXLifting / Carrying10 lbs. or lessX11 to 25 lbs.X26 to 50 lbs.X51 to 70 lbs.XManual DexterityXFine Motor SkillsXGross Motor SkillsXEye / Hand CoordinationXNear VisionXFar VisionXColor RecognitionXHearingXENVIRONMENTAL FACTORSYESNOWorking OutsideXWorking InsideXWorking AloneXWorking Closely with OthersXExcessive Cold / HeatXExcessive Humidity / DampnessXNoise / VibrationsXWorking Above GroundXWorking Below GroundXENVIRONMENTAL FACTORS (continued)YESNOWorking with Chemicals / Detergents / CleanersXWorking Around Fumes / Smoke / GasXWalking on Uneven SurfacesXOperating Motorized Equipment or VehiclesXWorking Around/Near Machinery/Motorized EquipmentXClimbing on Scaffolds or LaddersXContinuous use with a Computer and KeyboardXAbout UsStrata Med in Colorado Springs, Colorado, redefines patient care by integrating the personalized focus of concierge medicine with the holistic approach of integrative and functional medicine. Unlike traditional settings, our practice values extended interactions to understand and address individual health needs comprehensively. This blend of personalized and preventive care, backed by a team of skilled practitioners, promotes long-term health outcomes, shifting from merely treating symptoms to exploring underlying causes and optimizing overall wellness.Acknowledging the uniqueness of each patient's health journey, Strata Med's concierge medicine steps beyond the time-limited engagements found in conventional clinics. We provide collaborative and long-term strategies to address current ailments and promote a healthier future. Through this patient-centric and collaborative approach, we are your steadfast partner in navigating the path to better health and well-being.STRATA MEDhttps://www.STRATAwell.com/CAREER PATHClinical SupervisorOperations ManagerPOSITION GOALS90% patient satisfaction15% referral integration100% encounter entry/completion80% fill rate80% visit goals45% patient retentionAverage patient wait time less than 5 minutes90% next appointment schedulingRequiredPreferredJob IndustriesHealthcare



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Other, Information Technology, and Management
            



              Industries
            

            Leisure, Travel & Tourism
            
















Referrals increase your chances of interviewing at Garden of the Gods Resort and Club by 2x

                See who you know"
Seasonal Ice Cream Server - Murray Hill,Van Leeuwen Ice Cream,"New York, NY",1 hour ago,,Entry level,Full-time,Management and Manufacturing,Food and Beverage Retail,"We started Van Leeuwen Ice Cream in a yellow truck on the streets of NYC in 2008 with a mission to make good ice cream that makes you feel good.Nowadays, people can spend so much time on what's ""healthy"" they don't stop to consider what's healthy. As far as we're concerned, happiness is healthiness. We strive to ensure every scoop, store and employee feels and creates one community to contribute to the overall brand.Van Leeuwen Ice Cream is hiring seasonal, part-time team members to work at our Murray Hill ice cream shop during the summer. Our team members are the ultimate Van Leeuwen ambassadors as they exemplify our world-class standards in everything they do. Our team members must have availability to work at least three shifts per week and past 1am. We are looking for self-starters who are easily able to work as a part of a team or alone. The ideal candidate is someone with amazing energy, fantastic people skills, and a love for ice cream!Seasonal Part Time Ice Cream Servers at Van Leeuwen's scoop shops make $16.50 per hour + an average of up to $7 extra an hour with tips!This position is SEASONAL and is directly tied to the peak demands of the summer months. The end date of employment is 10/03/2025 unless otherwise specified in the interview.This role requires a local Department of Health Food Handlers License. DOH requires you're are 18 years or older.Job ResponsibilitiesPrepare and serve guests all menu items in accordance with established service and build-out standards.Process guest transactions of purchased menu selections at the register and receive/process payment.Maintain store cleanliness and follow all proper sanitation guidelines.Deliver excellent guest service to all customers.Complete inventory tasks, as well as receive and arrange delivery from vendors and Van Leeuwen HQ.Follow Van Leeuwen's established safety, grooming, uniform, and employee conduct standards.Job RequirementsMust be 18 years of age or older (18+)Able to work 60 days from start dateAbility to operate POS systemAble to push/pull and lift 50 lbs. of weightAble to work in a fast-paced environmentFlexible availability (at least three days a week)Able to stand, bend and reach for prolonged periods of timeFood handlers certificate a plusBarista experience a plusHere at Van Leeuwen, Good Ice Cream Is For Everyone! As an equal opportunity employer, we strive to foster a welcoming, diverse environment for every employee and customer. We pride ourselves on the creativity that goes into our ice cream and is built in our stores (by YOU) that help us meet our missions and values.RequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Management and Manufacturing
            



              Industries
            

            Food and Beverage Retail
            
















Referrals increase your chances of interviewing at Van Leeuwen Ice Cream by 2x

                See who you know"
Crisis Clinician,Equitas Health,"Dayton, OH",1 hour ago,,Entry level,Full-time,Health Care Provider,Hospitals and Health Care,"ESSENTIAL JOB FUNCTIONS:Essential functions of the job include but are not limited to: diagnosis and treatment of clients with mental health and substance use concerns, crisis intervention and consultation, documentation in an electronic medical record system, utilizing telehealth, phone, and in person visits with clients, attending meetings, and producing clear, understandable, and timely documentation.SALARY: $58,700-$73,300BenefitsPTOVisionDentalHealth401kSick timeMajor Areas Of ResponsibilitiesProvide high quality outpatient mental health and recovery assessment and intervention for clients who live with HIV/AIDS and their families; LGBTQ clients, and the community at large.Provide crisis intervention to patients experiencing suicidal ideation and complete risk assessments to determine appropriate level of care.Demonstrate use of Evidence Based Practices relevant to population and setting.Identify appropriate levels of care and treatment needs, including making referrals when clinically indicated.Collaborate with a multi-disciplinary team of professionals involved in caring for shared clients via Epic, email, phone, or face to face interactions.Complete comprehensive, client-focused assessments, treatment plans and treatment evaluations with all clients.Provide short-term solution-focused counseling focusing on safety and other immediate needs.Assist in development and facilitation of support groups and therapy groups.Demonstrate unconditional positive regard to clients.Maintain client records as directed by agency policies and proceduresAssist clients in accessing medical care, health insurance, Ryan White benefits, and other resources and services to improve health outcomes, housing stability, and employment and income attainment. Document encounters with clients in electronic health record accurately and within two business days of service provision.Complete HIV/AIDS, BIPOC and LGBTQ specific training to keep informed about current research and psychotherapy interventions.Other duties as assigned by supervisor.Education/LicensureRequired: minimum of Master's degree in social work or counselingRequired: minimum of MSW, LSW or MA, LPC in the State of OhioKnowledge, Skills, Abilities And Other QualificationsPreferred:Post-master's experience providing mental health treatment in a multidisciplinary or integrated care settingPost-master's experience working with clients experiencing mental health crisis and utilizing tools such as Columbia-Suicide Severity Rating Scale (C-SSRS) and Ask Suicide-Screening Questions (ASQ)Experience using electronic health record software such as EpicExperience conducting telehealth appointmentsRequiredKnowledge of, sensitivity to, interest in, and competence in cultural differences, HIV/AIDS, minority health, and sexual health; a demonstrated competence in working with BIPOC individuals, the LGBTQ+ community, and individuals living in povertyStrong written & oral communication skillsProficiency in all Microsoft Office applicationsReliable transportation, driver's license, and proof of auto insuranceKnowledge and adherence to professional standards and ethicsOther InformationBackground and reference checks will be conducted. In accordance with Equitas Health's Drug-Free Workplace Policy, pre-employment drug testing will be administered. Hours may vary, including working some evenings and weekends based on workload. Individuals are not considered applicants until they have been asked to visit for an interview and at that time complete an application for employment. Completing the application does not guarantee employment. EOE/AAOrganization InformationEstablished in 1984, Equitas Health is a regional not-for-profit community-based healthcare system and federally qualified community health center look-alike. Its expanded mission has made it one of the nation's largest HIV/AIDS, lesbian, gay, bisexual, transgender, and queer/questioning (LGBTQ+) healthcare organizations. With 22 offices in 12 cities, it serves more than 67,000 individuals in Ohio, Kentucky, and West Virginia each year through its diverse healthcare and social service delivery system focused around: primary and specialized medical care, retail pharmacy, dental, behavioral health, HIV/STI prevention, advocacy, and community health initiatives.Equal Opportunity Employer/Protected Veterans/Individuals with DisabilitiesThe contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. 41 CFR 60-1.35(c)RequiredPreferredJob IndustriesHealthcare



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Health Care Provider
            



              Industries
            

            Hospitals and Health Care
            
















Referrals increase your chances of interviewing at Equitas Health by 2x

                See who you know"
Surrogates Needed! Start at $55-$75K+ | No Exp Req  Apply Today!,Physician's Surrogacy,"Greenville, OH",1 hour ago,,Not Applicable,Full-time,Other,Medical Practices,"Earn up to $75,000 as a stay-at-home mom or as a second job. Sign up today and earn $1,200 bonusWhat qualities make you a great Surrogate?Aged 20.5-39.5 Have given birth before Experienced no complications during your own pregnancy Healthy lifestyle - No drugs or smoking US citizen or a US permanent residentAdvantages Of Our Surrogacy ProgramReceive up to $11,000 before pregnancy begins. Enjoy a $1200 bonus for screenings! Match quickly with intended parents. Ensure complete medical safety. All expenses are covered No experience neededJoin Our Surrogate Referral ProgramTake part in our referral program by referring a friend to become a Surrogate. You'll receive $1000 for every successful referral who passes screening. There's no cap on how many referrals you can make, and everyone is welcome to participate in this program.Support the dreams of hopeful parents and receive up to $75,000+ in bonuses as a SurrogateYou will know immediately if you meet the prequalification requirements. The application takes 5 minutes and a coordinator will contact you as soon as we receive it!RequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Not Applicable
          



            Employment type
          

            Full-time
          



              Job function
            

              Other
            



              Industries
            

            Medical Practices
            
















Referrals increase your chances of interviewing at Physician's Surrogacy by 2x

                See who you know"
"Make a Difference & Get Paid $55,000+ as a Surrogate!",Physician's Surrogacy,"Olmsted Falls, OH",1 hour ago,,Not Applicable,Full-time,Other,Medical Practices,"Earn up to $75,000 as a stay-at-home mom or as a second job. Sign up today and earn $1,200 bonusWhat qualities make you a great Surrogate?Aged 20.5-39.5 Have given birth before Experienced no complications during your own pregnancy Healthy lifestyle - No drugs or smoking US citizen or a US permanent residentAdvantages Of Our Surrogacy ProgramReceive up to $11,000 before pregnancy begins. Enjoy a $1200 bonus for screenings! Match quickly with intended parents. Ensure complete medical safety. All expenses are covered No experience neededJoin Our Surrogate Referral ProgramTake part in our referral program by referring a friend to become a Surrogate. You'll receive $1000 for every successful referral who passes screening. There's no cap on how many referrals you can make, and everyone is welcome to participate in this program.Support the dreams of hopeful parents and receive up to $75,000+ in bonuses as a SurrogateYou will know immediately if you meet the prequalification requirements. The application takes 5 minutes and a coordinator will contact you as soon as we receive it!RequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Not Applicable
          



            Employment type
          

            Full-time
          



              Job function
            

              Other
            



              Industries
            

            Medical Practices
            
















Referrals increase your chances of interviewing at Physician's Surrogacy by 2x

                See who you know"
Dinner Crew,Jersey Mike's Subs,"Niles, IL",1 hour ago,,Entry level,Full-time,"Design, Art/Creative, and Information Technology",Restaurants,"Jersey Mike's is a brand that believes: In the value of ingredients, in the virtue of intention, and in the idea that making a sub sandwich and making a difference can be one and the same. We enliven where we can. And when we ask: ""how can we help?""we mean it. After all, helping is who we are. It's not an angle and it's not an act. We don't give to get...we give to give: our passion, our time, our talent, and our attention...we always have and always will.A Jersey Mike's Team Member typically helps provide amazing customer service, cleans their work stations, makes orders, and ring orders out through the cash register. They also assist with putting away the delivery trucks twice a week and general cleaning.Our restaurants are open from 10 am to 9 pm daily, 7 days a week, with the exception of certain holidays. The earliest shift starts at 7 am and the latest shift ends at 9:30 pm.All of our hourly paid employees are paid by the hour and as a bonus, the tips left by customers are added to your bi-weekly pay check. Our employees are not paid the ""tipped wage,"" we pay above the actual minimum wage for non-tipped employees and the tips are just the extra money you make by giving fast, efficient customer service.If you would like to learn more about the job, we encourage you to apply today so we can set you up with one of our amazing store managers for an interviewso we can get to know you, and you can get to know us.The minimum age to work at a Jersey Mike's Subs is 16 years old.RequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Design, Art/Creative, and Information Technology
            



              Industries
            

            Restaurants
            
















Referrals increase your chances of interviewing at Jersey Mike's Subs by 2x

                See who you know"
Frito-Lay - Warehouser/Material Handler $16-$35/hr,Frito-Lay,"Puyallup, WA",1 hour ago,,Entry level,Full-time,Management and Manufacturing,Food and Beverage Services,"No experience requited, hiring immediately, appy now.Work Schedule: 4-5 days per week25 hours per week average Frito-Lay Warehouse/Material Handlers are responsible for a variety of warehouse duties. A key component of PepsiCo's success, Frito-Lay has been making the very best snacks for over 80 years. Classic Lay'sRequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Management and Manufacturing
            



              Industries
            

            Food and Beverage Services
            
















Referrals increase your chances of interviewing at Frito-Lay by 2x

                See who you know"
Child Care Assistant,Alegre Home Care,"San Francisco, CA",1 hour ago,,Entry level,Full-time,Management and Manufacturing,Hospitals and Health Care,"LOOK! New Pay Rates $21 Per HourOffering COMPANY-PAID Medical Benefits And PTOPrior experience is necessary! We prefer 1+ years of healthcare/childcare experience, or if you have worked for a childcare facility or agency, private care, a kid's camp, or youth sports' coach. It's a plus if you are majoring in or have a degree in childhood development, psychology, or communication studies.Benefits::Weekly PayHealth Benefits if you work 30+ hours per week and TWO WEEKS Paid TIME OFF accrual. Join our welcoming and supportive staff. Scheduling is flexible part time or up to 60 hours per week. Of course, overtime is always paid. All assignments are considered part-time/temporary, however many employees have been working with us for over 10 years! Some have been with us for a full 20 years. We offer Ongoing PAID In-services and FREE CEU's and FREE Online Learning, and referral incentive BONUS.RequirementsEligible to work in the United States18 Years of age or olderYear Prior Work Experience as a CaregiverLift 50 lbs., push 300 lbs.Registered with Home Care Services BureauRequiredPreferredJob IndustriesOther



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Management and Manufacturing
            



              Industries
            

            Hospitals and Health Care
            
















Referrals increase your chances of interviewing at Alegre Home Care by 2x

                See who you know"
